OrderID,OrderInfo,Product,Category,Region,SalesAmount,Currency,CustomerName,SalesRep,OrderStatus,Discount %,Units,SourceChannel,Notes
NHF-10000,2024-01-13 | London | UK,Whole Wheat Pasta 500g,Pantry,Europe, 83.30 ,GBP,Bluebird Grocery,Daniel Brooks,Returned,0, 15 ,Retail,Phone order
NHF-10001,23 Aug 2024 | Calgary | Canada,Sea Salt Crackers 250g,Snacks,north america,58.35,CAD,Lakeside Market,Sophie Tremblay,Cancelled,0%,6,Wholesale,VIP client
NHF-10002,"Apr 22, 2024| Berlin | Germany",Maple Granola 500g,Breakfast,Europe,$211.47,EUR,Prime  Select  Stores,Priya Shah,Returned,,15,Online,
NHF-10004,2024-07-16 | Paris | France,Dark Chocolate Bites 200g,Snacks,Europe,348.02, EUR , Fresh & Fine  ,Luca Rossi, Shipped,20%,34,Retail,Phone order
NHF-10005,"Jun 06, 2024| Austin | USA",Maple Granola 500g,Breakfast,North America,,USD, Harborline Foods ,Daniel Brooks,Pending,0%,16,Online,Late entry
NHF-10006,27 Apr 2024  |  Montreal  |  Canada,Maple Granola 500g,breakfast,North America,172.82, cad ,  Sunrise  Wellness  ,Daniel Brooks,processing,,22,Wholesale,
NHF-10007,"Feb 08, 2024| Dublin | Ireland",Keto Trail Mix 300g,Snacks,Europe,78,EUR,HARVEST  HOUSE  ,,processing,N/A,7,Online,
NHF-10008,2024/01/30 - Vancouver - Canada,Vanilla Protein Powder 1kg,Fitness,North America, 548.34 ,CAD,FAMILY  CHOICE  SUPERSTORE,,completed,0.15, 33 ,Distributor,Rush delivery
NHF-10009, 2024-01-05 | Dublin | Ireland ,Extra Virgin Olive Oil 750ml,Pantry,Europe,$57.62,EUR,The Market Loft,A. Wong,Returned,0.1,5,Distributor,Late entry
NHF-10010, 09/07/2024|London|UK,Maple Granola 500g,Breakfast,Europe,71.54, gbp , The Market Loft ,Priya Shah,Cancelled,,6,Online,
NHF-10012,"Nov 13, 2024| New York | USA",Whole Wheat Pasta 500g,Pantry,North America,238,USD,PEAK PERFORMANCE GYM,A. Wong,Pending,N/A,11,Retail,VIP client
NHF-10013,2024/06/18 - Toronto - Canada,Extra Virgin Olive Oil 750ml,Pantry,North America,111.58,CAD ,BLUEBIRD  GROCERY,A. Wong,Completed,0%,17,Retail,VIP client
NHF-10015, 25 Jul 2024  |  Manchester  |  UK,Keto Trail Mix 300g,Snacks,Europe,,GBP,Lakeside Market,Sophie Tremblay,Pending,10%,9,Online,
NHF-10016,2024-11-08 | Montreal | Canada,Dark Chocolate Bites 200g,Snacks,North America,179,CAD,HEALTHY LIVING DEPOT,,Pending,N/A,27,Wholesale,
NHF-10017,18-08-2024 | London | UK,Whole Wheat Pasta 500g,Pantry,Europe,, gbp , Euro Taste Hub ,Priya Shah,completed, 0 % ,41,Wholesale,Rush delivery
NHF-10018,08/02/2024 | Austin | USA,Vanilla Protein Powder 1kg,Fitness,North America,662.79,USD,  Everyday Essentials,Carlos Mendez, Shipped,N/A,15,Wholesale,VIP client
NHF-10019,27 Jan 2024 | Munich | Germany,Whole Wheat Pasta 500g,Pantry,Europe,$232.82,EUR,  City Grocer,Luca Rossi, Shipped,0.2,42,Wholesale,Manual adjustment
NHF-10021,"Dec 19, 2024| Austin | USA",Extra Virgin Olive Oil 750ml,Pantry,North America, 681.01 ,usd, Harborline Foods ,Sophie Tremblay,Cancelled, 15 % ,45,Distributor,Phone order
NHF-10023,"May 22, 2024| Dublin | Ireland",Whole Wheat Pasta 500g,Pantry, Europe ,368.03,EUR,EURO TASTE HUB,,Pending,,30,Wholesale,Late entry
NHF-10024,10-10-2024 | Munich | Germany ,Greek Yogurt Mix,Dairy,Europe, 272.27 ,EUR,,Nina Patel,completed,,48,Online,Rush delivery
NHF-10025,2024/08/28 - Madrid - Spain,Dark Chocolate Bites 200g,Snacks,Europe,"138,06",EUR,  CITY GROCER,Megan O'Neil,processing,N/A,22,Retail,
NHF-10026, 2024/05/15 - Montreal - Canada,Sparkling Water 12pk,Beverage,North America,47.59,CAD ,Lakeside Market,Jonas Weber,Pending,0.2,16,Distributor,Rush delivery
NHF-10027,2024/05/19 - Madrid - Spain,Dark Chocolate Bites 200g,Snacks,Europe,54.78,EUR,Harborline  Foods,Nina Patel,Returned,0,6,Distributor,Manual adjustment
NHF-10028,10/08/2024|Vancouver|Canada,Dark Chocolate Bites 200g,Snacks,North America,,CAD ,Cornerstone Retail,Sophie Tremblay,Pending, 5 % ,6,Distributor,
NHF-10029,"Feb 28, 2024| Dublin | Ireland",Extra Virgin Olive Oil 750ml,pantry,Europe,817.08,EUR,Cornerstone Retail,Priya Shah,Returned, 20 % ,42,Wholesale,
NHF-10030, 2024/10/09 - Paris - France,Dark Chocolate Bites 200g,Snacks,Europe,123.81, EUR ,Family Choice Superstore,Sophie Tremblay, Shipped,,21,Online,
NHF-10031, 15 Nov 2024 | Paris | France,Berry Jam 340g,Pantry,Europe,422.50,EUR,  EVERYDAY ESSENTIALS,Megan O'Neil,processing,0,22,Distributor,Manual adjustment
NHF-10032,2024/12/15 - Chicago - USA,Sparkling Water 12pk,Beverage, North America , 132.93 ,usd, CORNERSTONE RETAIL ,Luca Rossi, Shipped,N/A, 12 ,Wholesale,Phone order
NHF-10034,"Jan 12, 2024 |  Paris  |  France",Tomato Basil Sauce 680g,Pantry,Europe, 14.50 , EUR ,Sunrise Wellness,Priya Shah,Completed,N/A,1,Distributor,
